IIA001: 1.75s
IIA003: 0.26s
IIA006: 0.34s
IIA007: 0.28s
IIA008: 0.27s
IIA009: 0.30s
IIA011: 0.32s
IIA013: 0.28s
IIA014: 0.34s
IIA015: 0.47s
IIA016_FIXED: 0.53s
IIA017: 0.47s
IIA018_FIXED: 0.51s
IIA019: 0.45s
IIA020_FIXED: 0.47s
IIA021: 0.47s
IIA022_FIXED_NO_CONTENT_NO_XPATH: 0.52s
IIA023_FIXED_NO_CONTENT_NO_XPATH: 0.55s
IIB001: 0.42s
IIB002: 0.40s
IIB003: 0.41s
IIB004: 0.39s
IIB005: 0.41s
IIB006: 0.48s
IIB007: 0.41s
IIB008: 0.43s
IIB009: 0.42s
IIB010: 0.40s
IIB011: 0.43s
IIB012: 0.43s
IIB013: 0.40s
IIB016: 0.43s
IIB017: 0.35s
IIB018: 0.47s
IIB019: 0.38s
IIB020: 0.40s
IIB021: 0.40s
IIB022: 0.38s
IIB023: 0.42s
IIB024: 0.43s
IIB025: 0.40s
IIB026: 0.40s
IIB027: 0.48s
IIB028: 0.50s
IIB029: 0.48s
IIB030: 0.50s
IIB031: 0.44s
IIB032: 0.45s
IIB033: 0.41s
IIB034: 0.43s
IIB035: 0.44s
IIB036: 0.45s
IIB037: 0.42s
IIB038: 0.43s
IIB039: 0.46s
IIB040: 0.41s
IIB041: 0.50s
IIB042: 0.42s
IIB043: 0.47s
IIB044: 0.47s
IIB045: 0.43s
IIB046: 0.45s
IIB047: 0.43s
IIB048: 0.47s
IIB049: 0.48s
IIB050: 0.47s
IIB051: 0.45s
IIB052: 0.41s
IIB053: 0.48s
IIB300: 0.43s
IIB301: 0.42s
IIC001: 0.41s
IIC002: 0.39s
IIC004: 0.39s
IIC005: 0.35s
IIC006: 0.37s
IIC007: 0.41s
IIC008: 0.49s
IIC009: 0.44s
IIC010: 0.43s
IIC011: 0.40s
IIC013: 0.37s
IIC015: 0.40s
IIC016: 0.37s
IIC017: 0.39s
IIC018: 0.39s
IIC019: 0.38s
IIC020: 0.39s
IIC021: 0.43s
IIC022: 0.43s
IIC024: 0.39s
IIC025: 0.40s
IIC026: 0.37s
IIC027: 0.37s
IIC028: 0.37s
IIC029: 0.44s
IIC030: 0.40s
IIC031: 0.38s
IIC032: 0.45s
IIC033: 0.44s
IIC034: 0.38s
IIC035: 0.39s
IIC036: 0.50s
IIC037: 0.47s
IIC038: 0.54s
IIC039: 0.50s
IIC042: 0.48s
IIC043: 0.49s
IIC044: 0.50s
IIC045: 0.46s
IIC046: 0.51s
IIC047: 0.49s
IIC048: 0.51s
IIC049: 0.49s
IIC050: 0.50s
IIC051: 0.50s
IIC052: 0.43s
IIC053: 0.53s
IIC056: 0.44s
IIC057: 0.48s
IIC058: 0.43s
IIC059: 0.45s
IIC060: 0.53s
IIC061: 0.43s
IIC062: 0.48s
IIC063: 0.46s
IIC064: 0.40s
IIC065: 0.43s
IIC066: 0.51s
IIC067: 0.49s
IIC068: 0.46s
IIC069: 0.38s
IIC070: 0.44s
IIC071: 0.44s
IIC072: 0.43s
IIC073: 0.45s
IIC074: 0.44s
IIC075: 0.48s
IIC076: 0.46s
IIC077: 0.56s
IIC078: 0.49s
IIC079: 0.50s
IIC080: 0.47s
IIC081: 0.46s
IIC086: 0.47s
IIC087: 0.47s
IIC090: 0.45s
IIC091: 0.51s
IIC100: 0.48s
IIC101: 0.46s
IIC108: 0.47s
IIC109: 0.48s
IIC110: 0.49s
IIC111: 0.52s
IIC112: 0.44s
IIC113: 0.44s
IIC114: 0.48s
IIC115: 0.47s
IIC116: 0.52s
IIC117: 0.43s
IIC118: 0.55s
IIC119: 0.49s
IIC120: 0.53s
IIC121: 0.49s
IIC122: 0.56s
IIC123: 0.48s
IIC124: 0.47s
IIC125: 0.48s
IIC126: 0.49s
IIC127: 0.48s
IIC128: 0.55s
IIC129: 0.45s
IIC130: 0.51s
IIC131: 0.45s
IIC132: 0.46s
IIC133: 0.49s
IIC134: 0.52s
IIC135: 0.48s
IIC136: 0.50s
IIC137: 0.47s
IIC138: 0.44s
IIC139: 0.52s
IIC140: 0.43s
IIC141: 0.49s
IIC142: 0.54s
IIC143: 0.49s
IIC144: 0.47s
IIC145: 0.52s
IIC146: 0.46s
IIC147: 0.46s
IIC148: 0.47s
IIC149: 0.49s
IIC150: 0.54s
IIC151: 0.46s
IIC152: 0.49s
IIC153: 0.44s
IIC154: 0.55s
IIC155: 0.47s
IIC156: 0.47s
IIC157: 0.48s
IIC158: 0.48s
IIC160: 0.86s
IIC161: 0.36s
IIC162: 0.32s
IIC163: 0.31s
IIC171: 0.36s
IIC172: 0.31s
IIC173: 0.28s
IIC174: 0.27s
IIC175: 0.28s
IIC176: 0.32s
IIC177: 0.30s
IIC178: 0.32s
IIC179: 0.34s
IIC180: 0.33s
IIC181: 0.29s
IIC182: 0.29s
IIC183: 0.28s
IIC184: 0.28s
IIC185: 0.26s
IIC186: 0.31s
IIC187: 0.29s
IIC188: 0.30s
IIC189: 0.27s
IIC190: 0.27s
IIC191: 0.30s
IIC192: 0.30s
IIC193: 0.27s
IIC194: 0.25s
IIC195: 0.29s
IIC196: 0.30s
IIC197: 0.32s
IIC198: 0.28s
IIC199: 0.27s
IIC200: 0.27s
IIC201: 0.29s
IIC202: 0.31s
IIC203: 0.26s
IIC204: 0.28s
IIC205: 0.27s
IIC206: 0.27s
IIC207: 0.31s
IIC208: 0.28s
IIC209: 0.27s
IIC210: 0.28s
IIC211: 0.31s
IIC212: 0.32s
IIC213: 0.28s
IIC214: 0.36s
IIC215: 0.32s
IIC216: 0.34s
IIC217: 0.31s
IIC218: 0.47s
IIC219: 0.41s
IIC220: 0.34s
IIC221: 0.37s
IIC222: 0.40s
IIC223: 0.28s
IIC224: 0.27s
IIC225: 0.32s
IIC226: 0.42s
IIC227: 0.33s
IIC228: 0.29s
IIC229: 0.32s
IIC230: 0.32s
IIC231: 0.37s
IIC232: 0.28s
IIC300: 0.28s
IIC301: 0.31s
IIC302: 0.40s
IIC303: 0.31s
IIC310: 0.29s
IIC311: 0.31s
IIC312: 0.29s
IIC313: 0.28s
IIC320: 0.28s
IIC321: 0.26s
IIC322: 0.27s
IIC323: 0.27s
IIC330: 0.52s
IIC331: 0.54s
IIC333: 0.49s
IIC334: 0.51s
IIC340: 0.48s
IIC341: 0.51s
IIC342: 0.51s
IIC343: 0.44s
IIC344: 0.46s
IIC345: 0.49s
IIC346: 0.51s
IIC347: 0.47s
IIC348: 0.37s
IIC349: 0.53s
IIC350: 0.43s
IIC351: 0.50s
IIC352: 0.52s
IIC353: 0.47s
IIC354: 0.44s
IIC355: 0.41s
IIC356: 0.47s
IIC357: 0.49s
IIC358: 0.51s
IIC359: 0.48s
IID001: 0.51s
IID002: 0.57s
IID003: 0.42s
IID004: 0.50s
IID005: 0.43s
IID006: 0.48s
IID007: 0.50s
IID008: 0.50s
IID009: 0.50s
IID010: 0.50s
IID011: 0.52s
IID012: 0.48s
IID013: 0.50s
IID014: 0.52s
IID015: 0.51s
IID016: 0.49s
IID017: 0.47s
IID018: 0.48s
IID019: 0.46s
IID020: 0.49s
IID021: 0.42s
IID022: 0.47s
IID023: 0.50s
IID024: 0.54s
IID025: 0.52s
IID026: 0.47s
IID027: 0.52s
IID028: 0.51s
IID300: 0.48s
IID301: 0.47s
IID302: 0.51s
IID303: 0.53s
IID304: 0.49s
IID305: 0.47s
IID306: 0.52s
IID307: 0.53s
IID308: 0.53s
IID309: 0.45s
IID310: 0.48s
IID311: 0.53s
IID312: 0.54s
IID313: 0.46s
IID314: 0.45s
IID315: 0.48s
IID316: 0.56s
IID317: 0.53s
IID318: 0.50s
IID319: 0.48s
IID320: 0.52s
IID330: 0.50s
IID331: 0.55s
IID332: 0.52s
IID333: 0.51s
IID340: 0.56s
IID341: 0.47s
IID342: 0.51s
IID343: 0.47s
IIF301_FIXED_NO_XPATH: 0.55s
IIF310_FIXED_NO_XPATH: 0.49s
IIF311: 0.47s

Average: 0.43s
